item_name,item_brand,item_price,item_description,item_id,item_materials
REI Co-op   Sahara Shade Hoodie - Kids',REI Co-op,39.95,"On the trail or on the water, the kids' REI Co-op Sahara Shade hoodie provides comfort under the sun—with the same UPF 50+ performance fabric we use in our Sahara Shade clothing for grown-ups.",#242379,92% polyester/8% spandex (bluesign approved)
Columbia   Watertight II Jacket - Boys',Columbia,55.0,"Offering waterproof coverage, full seam sealing and a soft mesh lining for comfort on the go, the boys' Columbia Watertight II jacket is a must-have for rainy weekends and drizzly school commutes.",#234831,100% nylon
The North Face   On The Trail Pants - Boys',The North Face,55.0,"Keep your kids exploring in comfort with these The North Face pants. They're made with materials that wick moisture, and they have a water-repellent finish.",#251300,136 g/m2 100% recycled polyester with flashdry and non-pfc durable water repellent (dwr) finish
REI Co-op   Trailmade Fleece Jacket - Kids',REI Co-op,49.95,"On cold days, keep your young hiker or camper cozy beneath their shell jacket with the kids' REI Co-op Trailmade fleece jacket. This grab-and-go for warmth is made with 100% recycled polyester.",#249839,100% recycled polyester fleece
REI Co-op   Active Pursuits Tech Pants - Kids',REI Co-op,49.95,"Kids just want to have fun! Outfit them for movement in the REI Co-op Active Pursuits Tech pants, which are made with a soft, stretchy UPF 50+ fabric that's both breathable and water-repellent.",#242849,94% nylon/6% spandex (bluesign approved)
REI Co-op   Sahara Convertible Pants - Kids',REI Co-op,59.95,"When the trail steepens and the day warms up, the kids' REI Co-op Sahara convertible pants deal with it quickly and easily. Color-coded zippers provide an instant transition from pants to shorts!",#242849,96% recycled nylon/4% spandex (bluesign approved)
REI Co-op   Trailmade Fleece Pants - Kids',REI Co-op,44.95,"Keep your little hiker warm with these kids' REI Co-op Trailmade fleece pants. Their classic, easy fit means they can be worn as a standalone layer or under rain pants.",#249843,100% recycled polyester fleece
REI Co-op   Reversible 650 Down Jacket - Infants'/Toddlers',REI Co-op,59.95,Keep your little one cozy on chilly days in the REI Co-op Reversible 650 Down jacket. This jacket packs double the fun with 2 wearing options for those wish-you-had-a-second-outfit days.,#222066,recycled polyester taffeta (bluesign approved)
REI Co-op   Trailmade Fleece Pants - Infants'/Toddlers',REI Co-op,24.95,"Keep your little adventure buddy warm with these REI Co-op Trailmade fleece pants. Their classic, easy fit means they can be worn as a standalone layer or layered under rain pants​ or a rainsuit.",#249843,100% recycled polyester fleece
Icebreaker   Hike Light Crew Macro Stripe Socks - Kids',Icebreaker,11.73,"Built for hiking, backpacking and other outdoor adventures, Icebreaker Hike Light Crew Macro Stripe kids' socks are made with merino wool and underfoot cushioning for total comfort.",#203555,53% merino wool/43% nylon/4% lycra spandex
REI Co-op   Merino Wool Midweight Crew Hiking Socks - Kids',REI Co-op,13.95,"Make the trail a happier place for your little hiker with the kids' REI Co-op Merino Wool midweight crew hiking socks. These gems are breathable, moisture wicking and naturally odor resistant.",#165402,39% merino wool/32% recycled polyester/28% nylon/1% lycra spandex
Columbia   Fast Trek III Fleece Gloves - Kids',Columbia,20.0,Put your young explorer on the fast trek to warmth with these Columbia fleece gloves. They are made with cozy microfleece and durable abrasion overlays. And they have tech-friendly fingers.,#249843,96% polyester/4% elastane; 100% polyester microfleece
Columbia   Tiny Bear Insulated Jacket - Toddlers',Columbia,55.0,"A pint-sized top for your adventure-ready kiddo, this Columbia jacket repels water to help them stay dry. Recycled insulation and a microfleece lining keep them warm in the cold.",#256126,100% polyester
Columbia   Trail Adventure II Rain Pants - Kids',Columbia,40.0,Keep them dry all hike long in these waterproof/breathable Columbia Trail Adventure II rain pants for kids. They have adjustable leg openings and an elastic waist for comfort on every adventure.,#234834,100% omni-tech plain weave 2l polyester
REI Co-op   Trailsmith Merino Wool Crew Socks - Kids',REI Co-op,13.95,Soft merino wool keeps little feet comfy and warm. These kids' REI Co-op socks are naturally breathable and odor-resistant for all-day comfort in any season.,#251824,55% merino wool/42% nylon/3% lycra spandex
Hot Chillys   Youth Wool Trail Socks - 4 Pairs - Kids',Hot Chillys,44.73,Warmth and comfort come in a 4-pack. The Hot Chillys Youth Wool Trail socks for kids provide an extra layer of insulation to keep their feet cozy and dry for all adventures.,#232963,72% merino wool/27% nylon/1% spandex
REI Co-op   Sahara Shade Hoodie - Toddlers',REI Co-op,29.95,"On the trail or on the water, the toddlers' REI Co-op Sahara Shade hoodie provides comfort under the sun—with the same UPF 50+ performance fabric we use in our Sahara Shade clothing for grown-ups.",#242380,92% polyester/8% spandex (bluesign approved)
Patagonia   Quandary Pants - Kids',Patagonia,65.0,"Give them freedom of movement on the trail or in the yard with the roomy fit of the Patagonia Quandary kids' pants. Rain or shine, they'll be covered in its water-resistant, sun-protective fabric.",#242380,95% nylon (65% recycled)/5% spandex
Smartwool   Classic Hike Full Cushion Margarita Crew Socks - Kids',Smartwool,18.0,"Is it a hike or a dance through the clouds? The kids' Smartwool Classic Hike Full Cushion Margarita Crew socks offer a zingy, fun pattern and full cushion for extra comfort and durability.",#202959,60% merino wool/31% nylon/7% recycled nylon/2% elastane
Darn Tough   Bubble Bunny Jr. Socks - Kids',Darn Tough,14.73,"They're easy for everyday wear but also ready to hit the trails. These kids' socks from Darn Tough keep your little one feeling comfy wherever they play, hike and explore.",#C02492,49% nylon/46% merino wool/5% lycra spandex
REI Co-op   650 Down Jacket - Kids',REI Co-op,89.95,"An all-season puffy for all-season kids: The REI Co-op kids' 650 Down Jacket is toasty, with recycled materials and a windproof shell to keep them cozy.",#221696,recycled polyester taffeta (bluesign approved)
Columbia   Benton Springs Fleece Jacket - Girls',Columbia,31.49,"When the weather gets blustery, grab the fleece she can always count on. The girls' Columbia Benton Springs fleece jacket wears well solo in chilly weather and fits under a shell in deep winter.",#177478,250 g mtr filament fleece
REI Co-op   Mountainmaker Pants - Kids',REI Co-op,59.95,"A comfortable fit and performance details—like sun protection and water resistance—make the kids' REI Co-op Mountainmaker pants a staple for outdoor play, family hikes or the hard work of being a kid.",#227657,94% nylon/6% spandex (bluesign approved)
REI Co-op   Sahara Shade Long-Sleeve T-Shirt - Kids',REI Co-op,20.93,They'll move like they're in a T-shirt but with full protection from the sun. The kids' REI Co-op Sahara Shade long-sleeve T-shirt is built for the trail with a tech-tee-like knit that wicks moisture.,#227657,92% polyester/8% spandex (bluesign approved)
